PROD_CD,PROD_NAME,MODEL_NAME,UNIT_PRICE
AB-잡자재0001,"[LANstar] 스마트폰 터치 장갑 , 블랙 [20271]",LS-STB,3000
AB-잡자재0002,"[LANstar] 스마트폰 터치 장갑 , 화이트 [20272]",LS-STW,3000
AB-잡자재0003,"[LANstar] 스마트폰 터치 장갑 , 그레이 [20273]",LS-STG,3000
AB-잡자재0038,"[LANstar] 맥세이프 차량용 거치대 진공흡착 거치대, White [30934]",LS-MSSTW,7000
AB-잡자재0039,"[LANstar] 맥세이프 차량용 거치대 진공흡착 거치대, Black [30935]",LS-MSSTB,7000
AV0-스피커007,[LANstar] 외장 3.5mm 마이크 케이블 (클립형) Single (3극 젠더 포함) [20170],LS-MC1,6000
AV0-스피커008,[LANstar] 외장 3.5mm 마이크 케이블 (클립형) Dual (3극 젠더 포함) [20171],LS-MC2,7000
AV0-스피커028,"[LANstar] Type C 마이크, 스마트폰 마이크 [30475]",LS-MC3,6000
AVD-모니터003,[LANstar] TV 모니터 스크린 선반 트레이 18cm [30534] (40개),LS-MTR18,2500
AVD-모니터004,[LANstar] TV 모니터 스크린 선반 트레이 26cm [30535] (40개),LS-MTR26,3000
AVD-모니터021,[LANstar] TV 모니터 스크린 선반 트레이 60cm [30721] (30개),LS-MTR60,8000
AVD-모니터022,[LANstar] TV 모니터 스크린 선반 트레이 90cm [30722] (20개),LS-MTR90,10000
AVO-HD선054,"[LANstar] HDMI 2.1v AOC 케이블, 5M [30908](10개)",LS-H21AOC-5M,22800
AVO-HD선055,"[LANstar] HDMI 2.1v AOC 케이블, 10M [30909](10개)",LS-H21AOC-10M,24700
AVO-HD선056,"[LANstar] HDMI 2.1v AOC 케이블, 15M [30910](10개)",LS-H21AOC-15M,27000
AVO-HD선057,"[LANstar] HDMI 2.1v AOC 케이블, 20M [30911](10개)",LS-H21AOC-20M,29700
AVO-HD선058,"[LANstar] HDMI 2.1v AOC 케이블, 30M [30912](10개)",LS-H21AOC-30M,35800
AVO-HD선059,"[LANstar] HDMI 2.1v AOC 케이블, 40M [30913](10개)",LS-H21AOC-40M,39900
AVO-HD선060,"[LANstar] HDMI 2.1v AOC 케이블, 50M [30914](10개)",LS-H21AOC-50M,44400
AVO-HD선061,"[LANstar] HDMI 2.1v AOC 케이블, 70M [30915](4개)",LS-H21AOC-70M,59500
AVO-HD선062,"[LANstar] HDMI 2.1v AOC 케이블, 100M [30916](4개)",LS-H21AOC-100M,73100
AVO-HD선063,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 10M [30917](10개)",LS-HAP21AOC-10M,44700
AVO-HD선064,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 20M [30918](10개)",LS-HAP21AOC-20M,50300
AVO-HD선065,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 30M [30919](10개)",LS-HAP21AOC-30M,58100
AVO-HD선066,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 50M [30920](10개)",LS-HAP21AOC-50M,68200
AVO-HD선067,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 70M [30921](4개)",LS-HAP21AOC-70M,84600
AVO-HD선068,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 100M [30922](4개)",LS-HAP21AOC-100M,100500
AVO-디코더020,"[LANstar] Video to VGA 디코더 VGA(RGB), SVHS, RCA 입력, VGA(RGB) 출력 [60127] (40개)",LS-DEC,12000
AVO-사운드027,[LANstar] USB 사운드 카드 - 7.1채널/ 입출력 포트[60090](500개),LS-USOUND-7.1,2500
AVO-사운드030,"[LANstar] PCI-express 사운드카드, 5.1채널 [60128]",LS-EX71CH,18000
AVO-사운드036,"[LANstar] PCI-express 사운드카드, 5.1채널 3D 스테레오 서라운드, CMI8738칩셋 [20174] (100개)",LS-EX51CH,11000
AVO-사운드048,[LANstar] USB-C to Audio + PD 컨버터 [30411],LS-C2AP,13000
AVO-사운드051,[LANstar] PCI-e 5.1채널 사운드카드 [30520] (100개),LS-EX51CHN,13500
AVO-수신기058,[LANstar] 디지털 TV 안테나 UHD 지상파 수신기+증폭기 세트 [30946][50개],LS-UHANT,12000
AVO-엔코더017,"[LANstar] VGA to Video 엔코더 VGA(RGB) 입력, VGA(RGB), SVHS, RCA 출력 [60126] (40개)",LS-ENC,10000
AVO-영상변009,"CCTV영상 전송거리 연장 장치(UTP101P-4) - CCTV거리연장 장치, 2개 1셋트",UTP101P-4,4800
AVO-이어폰194,[LANstar] PC 헤드셋 변환케이블 White 0.7M[10908],LS-PCHEADSET-0.7MW,1900
AVO-이어폰195,[LANstar] PC 헤드셋 변환케이블 평면 Black/Red 0.2M[10909],LS-PCHEADSET-F0.2MF,900
AVO-이어폰197,[LANstar] PC 헤드셋 변환케이블 블랙 메탈 0.3M [11053] (500개),LS-PCHEADSET-0.3MB,1500
AVO-이어폰198,"[LANstar] PC 헤드셋 변환케이블 그레이 메탈 0.3M [11054] (1,000개)",LS-PCHEADSET-0.3MG,1500
AVO-이어폰199,"[LANstar] PC 헤드셋 변환케이블 블루 메탈 0.3M [11055] (1,000개)",LS-PCHEADSET-0.3MBL,1500
BAT-건전지045,"[LANstar] GAN II 65W 3포트 충전기, PPS/PD3.0 [30781](100개)★★할인제외★★",KYT826-PD65W-CCA (LS-GAN65W),17000
CAB-139007,"[LANstar] 1394투명케이블 , 4P-4P, M／M, 2M[10372]",LS-T1394-44M1.5M,1500
CAB-139009,"[LANstar] 1394투명케이블 , 4P-4P ,M／M, 5M[10374] (80개)",LS-T1394-44M5M,2000
CAB-139010,"[LANstar] 1394투명케이블 , 4P-4P , M／M, 10M[10097] (50개)",LS-T1394-44M10M,4800
CAB-139013,"[LANstar] 1394투명케이블 , 4P-6P ,M／M, 5M[10377] (80개)",LS-T1394-46M5M,3000
CAB-139015,"[LANstar] 1394투명케이블 , 6P-6P, M／M, 1.5M[10378] (250개",LS-T1394-66M1.5M,1500
CAB-139023,"[LANstar] 1394케이블 , 4P-6P, Black, 2M[10763] (129개)",LS-1394-46M-2M,1800
CAB-139034,"[LANstar] 1394B케이블 , 9P-9P 5M[10389] (40개)",LS-1394B-99-5M,3000
CAB-139036,"[LANstar] 1394B케이블 , 9P-6P 3M[10385] (60개)",LS-1394B-96-3M,3800
CAB-139039,"[LANstar] 1394B케이블 , 9P-4P 3M[10382] (60개)",LS-1394B-94-3M,3800
CAB-139043,"[10929](LANstar) 1394 연장 케이블 , 4P(M)-4P(F) 1.8M",LS-T1394-4M4F1.8M,1500
CAB-139047,"(LANstar)1394B케이블 , 9P-9P 2M (10387) (140개)",LS-1394B-99-2M,2000
CAB-139049,"1394B케이블 , 9P-6P, 2M(LANstar)(165개)",LS-1394B-9M6M-2M,3200
CAB-1RC001,[LANstar] RCA 1선 케이블 1RCA M/M 1.5M [10390] [500개],LS-1RCA-MM-1.5M,400
CAB-1RC002,[LANstar] RCA 1선 케이블 1RCA M/M 3M [10392] (200개),LS-1RCA-MM-3M,550
CAB-1RC003,[LANstar] RCA 1선 케이블 1RCA M/M 5M [10393],LS-1RCA-MM-5M,750
CAB-1RC004,[LANstar] RCA 1선 케이블 1RCA M/M 10M [10394] (50개),LS-1RCA-MM-10M,1000
CAB-1RC005,[LANstar] RCA 1선 케이블 1RCA M/M 15M [10395],LS-1RCA-MM-15M,1500
CAB-1RC006,[LANstar] RCA 1선 케이블 1RCA M/M 20M [10396] (50개),LS-1RCA-MM-20M,2000
CAB-2RC001,[LANstar] RCA 2선 케이블 2RCA M/M 1.5M [10397] (200개),LS-2RCA-MM-1.5M,1000
CAB-2RC002,[LANstar] RCA 2선 케이블 2RCA M/M 3M [10399] (110개),LS-2RCA-MM-3M,1200
CAB-2RC003,[LANstar] RCA 2선 케이블 2RCA M/M 5M [10400] (100개),LS-2RCA-MM-5M,1600
CAB-2RC004,[LANstar] RCA 2선 케이블 2RCA M/M 10M [10401] (50개),LS-2RCA-MM-10M,2500
CAB-2RC005,[LANstar] RCA 2선 케이블 2RCA M/M 15M [10402] (40개),LS-2RCA-MM-15M,3000
CAB-2RC006,[LANstar] RCA 2선 케이블 2RCA M/M 20M [10403] (40개),LS-2RCA-MM-20M,4200
CAB-3RC001,[LANstar] RCA 3선 케이블 3RCA M/M 1.5M [10404] (150개),LS-3RCA-MM-1.5M,1400
CAB-3RC002,[LANstar] RCA 3선 케이블 3RCA M/M 3M [10406] (75개),LS-3RCA-MM-3M,1600
CAB-3RC003,[LANstar] RCA 3선 케이블 3RCA M/M 5M [10407] (80개),LS-3RCA-MM-5M,2000
CAB-3RC004,[LANstar] RCA 3선 케이블 3RCA M/M 10M [10408] (40개),LS-3RCA-MM-10M,3000
CAB-3RC005,[LANstar] RCA 3선 케이블 3RCA M/M 15M [10409] (35개),LS-3RCA-MM-15M,4300
CAB-3RC006,[LANstar] RCA 3선 케이블 3RCA M/M 20M [10410] (30개),LS-3RCA-MM-20M,6000
CAB-3R고002,"[LANstar] RCA케이블 , 3RCA M／M 3M 고급형[10412]",LS-3R-5MM-3M,2700
CAB-3R고003,"[LANstar] RCA케이블 , 3RCA M／M 5M 고급형[10413]",LS-3R-5MM-5M,3700
CAB-3R고004,"[LANstar] RCA케이블 , 3RCA M／M 10M 고급형 [10414]",LS-3R-5MM-10M,5500
CAB-AOC001,[LANstar] USB3.0 AOC 연장 리피터 케이블 5m [30861] (10개),LS-U3AOC05,76000
CAB-AOC002,[LANstar] USB3.0 AOC 연장 리피터 케이블 10m [30862] (10개),LS-U3AOC10,82000
CAB-AOC003,[LANstar] USB3.0 AOC 연장 리피터 케이블 15m [30863] (10개),LS-U3AOC15,86000
CAB-AOC004,[LANstar] USB3.0 AOC 연장 리피터 케이블 20m [30864] (10개),LS-U3AOC20,90000
CAB-AOC005,[LANstar] USB3.0 AOC 연장 리피터 케이블 30m [30865] (10개),LS-U3AOC30,95000
CAB-APO001,[Lanstar] SD 카드 리더기 USB 3.0 A/C 듀얼 [30931],LS-UACSD,8000
CAB-APP012,"[LANstar] 애플충전케이블, Car to 30P／M, 1.5M, 1A",LS-IPCAR-1.5M,500
CAB-APP014,[LANstar]애플통합케이블 USB AV Composite cable 1.5M,LS-IPKIT-1.5M,2000
CAB-APP102,"애플용 AV케이블, Stero 3.5ST M／F, 1.8M (LANstar)(100개) [10154]",LS-ISTMF-1.8M,1000
CAB-APP104,"애플용 AV케이블, 3.5ST 4P／M-3RCA／M, 1.8M[10448] (LANstar)(100개",LS-I3RST-1.8M,3000
CAB-APP201,"[LANstar] 애플용 충전밧데리, 1500R, Rechargeable",LS-IPRBP-1500,1000
CAB-APP202,"[LANstar]애플용 AV변환젠더, 30P TO 3.5ST4극＋USB",LS-IPDOCK-45P,1000
CAB-APP211,"애플 갤럭시 통합케이블, Apple30P＋MICRO B. 0.3M★할인제외품목★",LS-IPAMB-0.3M,500
CAB-APP212,"애플 갤럭시 통합케이블, Apple30P＋MICRO B, 1.5M★할인제외품목★",LS-IPAMB-1.5M,1000
CAB-APP213,"애플자동감김 통신케이블, USB A／M-iPod30／M, 0.8M",LS-IPUAR-0.8M,2000
CAB-APP214,"애플 통신.충전.케이스 4종세트, USB-30P, Cigar, AV, Case",LS-IPSET-4P,3000
CAB-APP215,"[LANstar] 고급포장, USB2.0 GALUXY케이블 , A／M-P1000 30P／M, 0.15M[10632]",LS-UT30P-015M,500
CAB-APP216,"[LANstar] 고급포장, USB마이크로케이블, A／M-Micro B／M, 0.15M[10627]",LS-UM5P-015M,500
CAB-APP302,"애플용 모바일 스위치케이블, USB TO 30P, with SWITCH, 1.2M",LS-IPUSC-1.2M,2000
CAB-APP404,"애플통신충전케이블 USB Cable1.5M Car charger,2.1A(LANstar)",LS-IPUAC-1.5MB,2500
CAB-APP434,"[LANstar] 모바일 MHL케이블, 삼성갤럭시S3, Note2용 HDMI 컨버터, 2M[10618]",LS-MHL519-2M3S,3500
CAB-APP435,"[LANstar] 모바일 MHL케이블, 삼성갤럭시S2, S3 겸용 HDMI 컨버터, 2M[10619] (100개)",LS-MHL519-2M3D,5000
CAB-APP453,"[LANstar] 슬림포트 옵티머스G2/PRO,넥서스 HDMI 컨버터 S-PORT[10620](100)",LS-SP519,12000
CAB-APP543,"[Coms] [ITA103] 아이폰 5 케이블(Flat형/자석), White, 20cm",ITA103,3500
CAB-APP544,"[Coms] [ITA104] 아이폰 5 케이블(Flat형/자석), Green, 20cm",ITA104,3500
CAB-APP580,[LANstar] DC 5V 1A 전원 아답터 (ENC DEC VGA2HDN HD2VGA USB207PN 호환) [60059] (111개),GFP252-0512,6000
CAB-APP581,[LANstar] 아이폰 안드로이드 겸용 미러링 케이블/MHL기능 블랙 2M [10904],LS-MHL-A519B,15000
CAB-APP589,[솔텍][soltech] SFC320C 10/100Mbps TP 1-포트 + BNC 1-포트 (2.4Km),SFC320C,103400
CAB-APP597,[LANstar] [10954] 아이폰 안드로이드 겸용 미러링 케이블/MHL기능 RED 1M ***단종***,LS-MHL-A519R,20000
CAB-APP600,KS513] Coms SATA 컨버터(mSATA to SATA) 2.5인치 케이스형,KS513,11500
CAB-APP607,"[LANstar] USB 3.1 C-Type TO HDMI 컨버터케이블, 미러링 RED 2M [11021] (100개)",LS-USB312-HDMI★빨강★,11000
CAB-APP611,"[LANstar] 고속 무선충전기,스텐드형, 2Coil, 블랙, 5V/2A,9V/1.8A [60085] (70개)",LS-HCS-9V,16000
CAB-APP615,[LANstar] 아이폰용 애플 8핀용 무선 충전 패치 [60086],LS-MPATCH-AP8P,4000
CAB-APP616,[LANstar] Micro B 삼성/엘지 무선 충전 패치 [60087],LS-MPATCH-MICB,4000
CAB-APP617,[LANstar] USB 3.1 C타입 무선 충전 패치 [60088],LS-MPATCH-U31,4000
CAB-APP618,[LANstar] 아이폰 30핀 케이블 USB A／M - Apple 30／M 1M [10994]★단종★,LS-IPUAM-1M,1000
CAB-APP621,"[LANstar] 고속 무선충전기,원형패드, 블랙, 5V/2A,9V/1.67A [60089]",LS-HCC-9V,4000
CAB-APP623,"[LANstar] USB 3.1 C-Type TO HDMI 컨버터케이블 ,USB충전, 미러링 2M [11073] ★단종★-->20328로 대체",LS-USB312-HDCHA,11500
CAB-APP629,"[LANstar] 차량용 고속 무선충전기, 중력 거치형, 9V/1.67A [60111] (50개)]",LS-HCAR-9V,5000
CAB-APP646,[LANstar] 스마트폰 무선 미러링 동글 Miracast/DLNA 지원 [20151](100개),LS-WD19,18000
CAB-APP660,"[LANstar] HDMI 무선 디스플레이 동글 / iOS, Android, Win, Mac OS 지원/스마트뷰, Airplay, DLAN [20215]",LS-MHL-HR519,23000
CAB-APP665,애플 라이트닝 8핀 젠더,LS-IP5G,2000
CAB-APP684,"[LANstar] Type C to HDMI 스마트폰 미러링 케이블, 4K 30Hz , HDCP [20282](100개)",LS-USB312-HDMIN,9000
CAB-APP720,"[LANstar] USB C to HDMI 케이블 2m , 4K 60Hz 지원 [30385]",LS-USB314-HDMI,14000
CAB-APP726,[LANstar] 5V 1A DC전원 아답터. 외경 5.2mm 내경 2.8mm [30400],LS-5V1ADC,5000
CAB-APP768,"[LANstar] Type C to Display Port 케이블, 4K 60Hz , PD 고속충전 , 2M [30471] (150개)",LS-C2DPC,25000
CAB-APP772,[LANstar] Type C 듀얼 HDMI2.0 MST 분배/확장 컨버터 [30476] (100개),LS-UC202,37000
CAB-APP773,[LANstar] HDMI 1:2 양방향 수동 선택기 [30477] (200개),LS-HS12C,4500
CAB-APP928,"[LANstar] HDMI 3:1 선택기, HDMI2.1버전 케이블 타입 [30747] (50개)",LS-HS31C,16000
CAB-APP946,"[LANstar] 3in1 무선 충전패드, 아이폰/에어팟/애플워치 [30752] (100개)",LS-A3IN1,25000
CAB-APP951,[LANstar] USB Type C 100W 고속충전 케이블 1M [30770](100개),LS-C100W-1M,4700
CAB-APP952,[LANstar] USB Type C 100W 고속충전 케이블 2M [30771](100개),LS-C100W-2M,5300
CAB-APP953,"[LANstar] USB Type C 100W 고속충전 케이블 90도,ㄱ자꺽임 1M [30772](100개)",LS-C100WL-1M,5000
CAB-APP954,"[LANstar] USB Type C 100W 고속충전 케이블 90도,ㄱ자꺽임 2M [30773](100개)",LS-C100WL-2M,5600
CAB-APP955,"[LANstar] HDMI2.1버전 1:2, 2:1 양방향 스위치 [30777] (250개)",LS-BIHD,15000
CAB-APP983,[LANstar] UHS-II 초고속 SD 카드리더기 [30819][152개],LS-UHS2SR,16000
CAB-BNC011,"동축케이블, RG59 COAXIAL, 100M (LANstar)",LS-RG59-100M,23000
CAB-BNC012,"동축케이블, RG59 COAXIAL, 200M (LANstar)",LS-RG59-200M,41000
CAB-BNC039,"[LANstar] HD Power 고화질 동축케이블, 5M, RG59 BNC M/M, Power M/F [10145] (50개)",LS-CCTP-5M,3700
CAB-BNC040,"[LANstar] HD Power 고화질 동축케이블, 10M, RG59 BNC M/M, Power M/F[10146] (30개)",LS-CCTP-10M,5000
CAB-BNC041,"[LANstar] HD Power 고화질 동축케이블, 15M, RG59 BNC M/M, Power M/F[10147] (20개)",LS-CCTP-15M,7000
CAB-BNC042,"[LANstar] HD Power 고화질 동축케이블, 20M, RG59 BNC M/M, Power M/F[10148] (16개)",LS-CCTP-20M,9000
CAB-BNC043,"[LANstar] HD Power 고화질 동축케이블, 30M, RG59 BNC M/M, Power M/F [10149] (12개)",LS-CCTP-30M,13000
CAB-BNC044,"[LANstar] HD Power 고화질 동축케이블, 40M, RG59 BNC M/M, Power M/F[10150] (10개)",LS-CCTP-40M,17000
CAB-BNC045,"[LANstar] HD Power 고화질 동축케이블, 50M. RG59 BNC M/M, Power M/F[10151] (10개)",LS-CCTP-50M,19000
CAB-DVI058,"[LANstar] DVI-RGB케이블 , DVI 12＋5P／M-RGB15／M, 1.8M[10314] (70개)",LS-DVI-VGA-1.8M,3200
CAB-DVI059,"[LANstar] DVI-RGB케이블 , DVI 12＋5P／M-RGB15／M, 3M[10315] (56개)",LS-DVI-VGA-3M,4000
CAB-DVI060,"[LANstar] DVI-RGB케이블 , DVI 12＋5P／M-RGB15／M, 5M[10316] (34개)",LS-DVI-VGA-5M,5500
CAB-DVI061,"[LANstar] DVI-RGB케이블 , DVI 12＋5P／M-RGB15／M, 10M[10317] (22개)",LS-DVI-VGA-10M,10000
CAB-DVI091,[LANstar] DVI 싱글링크 케이블 DVI 18+1P MM 1.8M [10253] (80개),LS-DVI19M-1.8M,3000
CAB-DVI092,[LANstar] DVI 싱글링크 케이블 DVI 18+1P MM 3M [10254] (60개),LS-DVI19M-3M,3800
CAB-DVI093,[LANstar] DVI 싱글링크 케이블 DVI 18+1P MM 5M [10255] (40개),LS-DVI19M-5M,4800
CAB-DVI094,[LANstar] DVI 싱글링크 케이블 DVI 18+1P MM 10M [10256] (24개)(16개),LS-DVI19M-10M,9500
CAB-DVI095,[LANstar] DVI 듀얼링크 케이블 DVI 24+1P MM 1.8M [10257] (60개),LS-DVI25M-1.8M,3500
CAB-DVI096,[LANstar] DVI 듀얼링크 케이블 DVI 24+1P MM 3M [10258] (50개),LS-DVI25M-3M,4000
CAB-DVI097,[LANstar] DVI 듀얼링크 케이블 DVI 24+1P MM 5M [10259] (24개),LS-DVI25M-5M,5000
CAB-DVI098,[LANstar] DVI 듀얼링크 케이블 DVI 24+1P MM 10M [10260] (20개),LS-DVI25M-10M,9500
CAB-DVI216,"[LANstar] DVI-RGB케이블 , DVI 12＋5P／M-RGB15／M, 1M [11020]",LS-DVI-VGA-1M ★★단종★★,2900
CAB-DVI251,"[◆Lanstar-Plus] DVI케이블, 듀얼, DVI24＋1P, M／M, 1.8M[70071] (50개)",LSP-DVI25M-1.8M,2500
CAB-DVI252,"[◆Lanstar-Plus] DVI케이블, 듀얼, DVI24＋1P, M／M, 3M[70072] (32개)",LSP-DVI25M-3M,3200
CAB-DVI253,"[◆Lanstar-Plus] DVI케이블, 듀얼, DVI24＋1P, M／M, 5M[70073] (24개)",LSP-DVI25M-5M,2900
CAB-F5B001,"[LANstar] 방수용 랜 케이블, CAT.5E, FTP, IP67, UL, Black, 5M [10933]",LS-SPCE-WP5M,9000
CAB-F5B002,"[LANstar] 방수용 랜 케이블, CAT.5E, FTP, IP67, UL, Black, 10M [10934]",LS-SPCE-WP10M,15000
CAB-F5B003,"[LANstar] 방수용 랜 케이블, CAT.5E, UTP, IP67, UL, 1M [10953] (175개)",LS-WPCCTV-RJ45,4500
CAB-F5G001,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 1M [10041] (200개)",LS-5STPD-1M,600
CAB-F5G002,"[LANstar] GigaLAN케이블 , CAT.5E FTP Cross, 2M [10050] (150개)",LS-5STPC-2M,750
CAB-F5G003,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 2M[10042] (150개)",LS-5STPD-2M,750
CAB-F5G004,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 3M[10043] (100개)",LS-5STPD-3M,900
CAB-F5G005,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 5M[10044] (80개)",LS-5STPD-5M,1300
CAB-F5G006,"[LANstar] GigaLAN케이블 , CAT.5E FTP Cross, 5M [10051] (80개)",LS-5STPC-5M,1300
CAB-F5G007,"[LANstar] GigaLAN케이블 , CAT.5E FTP Cross, 10M [10052] (50개)",LS-5STPC-10M,2100
CAB-F5G008,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 10M[10045] (50개)",LS-5STPD-10M,2100
CAB-F5G009,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 15M[10046] (40개)",LS-5STPD-15M,3000
CAB-F5G010,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 20M[10047] (24개)",LS-5STPD-20M,4000
CAB-F5G011,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 30M[10048] (20개)",LS-5STPD-30M,4800
CAB-F5G012,"[LANstar] GigaLAN케이블 , CAT.5E FTP, 50M[10049] (12개)",LS-5STPD-50M,9000
CAB-F5G013,"[LANstar] GigaLAN케이블 , CAT.5E FTP Cross, 3M [10668] (100개)",LS-5STPC-3M,900
CAB-F5G021,"[LANstar] 클라우드 LAN케이블 , CAT.5E SFTP, 10M [10844]",LS-5SFTP-10M,3300
CAB-F5G022,"[LANstar] 클라우드 LAN케이블 , CAT.5E SFTP, 12M [10845]",LS-5SFTPD-12M,3800
CAB-F5G023,"[LANstar] 클라우드 LAN케이블 , CAT.5E SFTP, 14M [10846]",LS-5SFTPD-14M,4200
CAB-F5G024,"[LANstar] 클라우드 LAN케이블 , CAT.5E SFTP, 16M [10847]",LS-5SFTP-16M,4800
CAB-F5G058,쿠팡용 랜스타 CAT.5E FTP 다이렉트 랜케이블 연선 Giga Lan케이블 (LS-5STPD-3M) 회색 5개,(LS-5STPD-3M) 5개,4250
CAB-F5박001,"[LANstar] FTP 랜케이블 , CAT.5E, BOX, 100M , Grey, 24AWG BOA[10113] (4개)",LS-5FTP-100M,20000
CAB-F5박011,"[LANstar] GigaLAN케이블 , CAT.5E SFTP, Gray 300M BOA [10118](2개)",LS-5SFTP-300M,64000
CAB-F5박013,"[LANstar] 통신공사용 CAT.5E FTP 연선 Strand, 300M, 회색[10881](2개)",LS-FTP-300MSTG,52000
CAB-F5박015,"[LANstar] GigaLAN케이블 , CAT.5E SFTP, Gray 300M RO [10921] (2개)★★단종-전표입력주의★★",LS-5SFTP-300MG,56000
CAB-F5박017,"[LANstar] GigaLAN케이블 , CAT.5E SFTP, BLUE, 300M, BOA [10977](2개)",LS-5SFTP-B300M,59000
CAB-F5박025,[LANstar] Cat.5e FTP 케이블 300M [30715],LS-5FTP-300MG,55000
CAB-F5박026,"[LANstar]통신공사용 CAT.5E FTP 연선 Stranded, 100M, 회색 [30869]",LS-FTP-100MSTG,19000
CAB-F6B001,"[LANstar] 방수용 랜 케이블, CAT.6, FTP, IP67, UL, Black, 5M [10935]",LS-SPC6-WP5M,13000
CAB-F6B002,"[LANstar] 방수용 랜 케이블, CAT.6, FTP, IP67, UL, Black, 10M [10936][30개]",LS-SPC6-WP10M,19000
CAB-F6G001,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 1M [10078] (150개)",LS-6STPD-1M,1000
CAB-F6G002,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 2M [10079] (90개)",LS-6STPD-2M,1200
CAB-F6G003,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 3M [10080] (70개)",LS-6STPD-3M,1500
CAB-F6G004,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 5M [10081] (60개)",LS-6STPD-5M,2000
CAB-F6G005,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 10M [10083] (32개)",LS-6STPD-10M,3200
CAB-F6G006,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 15M [10084] (30개)",LS-6STPD-15M,4400
CAB-F6G007,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 20M [10085] (24개)",LS-6STPD-20M,6500
CAB-F6G008,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 30M [10086] (16개)",LS-6STPD-30M,9000
CAB-F6G009,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 50M [10087] (12개)",LS-6STPD-50M,13000
CAB-F6G013,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 7M [10082] (40개)",LS-6STPD-7M,2500
CAB-F6G042,"[LANstar] 클라우드 LAN케이블, LSZH, CAT.6 SFTP, 블랙 10M [11056]",LS-6SFTP-10MBK,4000
CAB-F6G043,"[LANstar] 클라우드 LAN케이블, LSZH, CAT.6 SFTP, 블랙 12M [11057]",LS-6SFTP-12MBK,4800
CAB-F6G044,"[LANstar] 클라우드 LAN케이블, LSZH, CAT.6 SFTP, 블랙 14M [11058]",LS-6SFTP-14MBK,5500
CAB-F6G045,"[LANstar] 클라우드 LAN케이블, LSZH, CAT.6 SFTP, 블랙 16M [11059][20개]",LS-6SFTP-16MBK,6500
CAB-F6G047,[LANstar] 아이폰 미러링 젠더 케이블/MHL기능 0.1M [11061],LS-MHL-A819G,21000
CAB-F6G061,"[LANstar] CAT.6케이블, FTP, STP50u Gold, 0.3M [20278] (320개)",LS-6STPD-0.3M,800
CAB-F6박001,"[LANstar] CAT.6케이블, FTP, 100M [10119] (4개)",LS-6FTP-100MG,21000
CAB-F6박005,"[LANstar] CAT.6케이블, SFTP, Gray 300M BOA [10723] (2개)",LS-6SFTP-300M,75000
CAB-F6박006,"[LANstar] [10926]CAT.6케이블, SFTP, Gray 300M, RO (2개) ★★단종★★ 10723으로 대체",LS-6SFTP-300MG,62000
CAB-HD1001,[LANstar] HDMI 1.4 케이블 1m [20197] (180개),LS-HDMI-NEMM-1M,850
CAB-HD1002,[LANstar] HDMI 1.4 케이블 1.5m [20198] (120개),LS-HDMI-NEMM-1.5M,1000
CAB-HD1003,[LANstar] HDMI 1.4 케이블 2m [20199] (100개),LS-HDMI-NEMM-2M,1300
CAB-HD1004,[LANstar] HDMI 1.4 케이블 3m [20200] (90개),LS-HDMI-NEMM-3M,1600
CAB-HD1005,[LANstar] HDMI 1.4 케이블 5m [20201] (50개),LS-HDMI-NEMM-5M,2300
CAB-HD1006,[LANstar] HDMI 1.4 케이블 10m [20202] (24개),LS-HDMI-NEMM-10M,6000
CAB-HD1019,[LANstar] HDMI 1.4 케이블 15m [20342](20개),LS-HDMI-NEMM-15M,10000
CAB-HD1020,[LANstar] HDMI 1.4 케이블 20m [20343](10개),LS-HDMI-NEMM-20M,16000
CAB-HD1021,[LANstar] HDMI 1.4 케이블 30m [20344](4개),LS-HDMI-NEMM-30M,28000
CAB-HD2002,"[LANstar] HDMI 2.0 연장 케이블 0.15M , 4K 60Hz [20203] (300개)",LS-HDMI-HMF-0.15M,1800
