PROD_CD,PROD_NAME,MODEL_NAME,UNIT_PRICE
PAC-HDM004,"[◆Lanstar-Plus] HDMI 1.4케이블 ,19P M／M, Black, 4K*2K 30Hz, 3M(100개)[70068] ★★단종★★",LSP-HDMI-3M,1400
PCA-DVI001,"[◆Lanstar-Plus] DVI 싱글 케이블 , 싱글-D, DVI18+1P M/M, 1.8M [70028](50개) ★★할인제외★★",LSP-DVI19M-1.8M,1570
PCA-DVI002,"[◆Lanstar-Plus] DVI 싱글 케이블 , 싱글-D, DVI18+1P M/M, 3M [70029](32개)",LSP-DVI19M-3M,2900
PCA-DVI003,"[◆Lanstar-Plus] DVI 싱글 케이블 , 싱글-D, DVI18+1P M/M, 5M [70030](24개)",LSP-DVI19M-5M,3500
PCA-HDD001,"[◆Lanstar-Plus] DVI-HDMI 케이블 , DVI18+1/M- HDMI 19/M, Black 1.8M [70025](70개)",LSP-DVI19M-HDMI-1.8M,2200
PCA-HDD002,"[◆Lanstar-Plus] DVI-HDMI 케이블 , DVI18+1/M- HDMI 19/M, Black 3M [70026](32개)",LSP-DVI19M-HDMI-3M,2900
PCA-HDD003,"[◆Lanstar-Plus] DVI-HDMI 케이블 , DVI18+1/M- HDMI 19/M, Black 5M [70027] (24개)",LSP-DVI19M-HDMI-5M,3600
PCA-RG저001,"[◆Lanstar-Plus] RGB3+4 모니터케이블 , HDB15P M/M, 1.8M [70019](50개)",LSP-RGB-15MM-1.8M,1700
PCA-RG저002,"[◆Lanstar-Plus] RGB3+4 모니터케이블 , HDB15P M/M, 3M [70020](32개)",LSP-RGB-15MM-3M,2100
PCA-RG저003,"[◆Lanstar-Plus] RGB3+4 모니터케이블 , HDB15P M/M, 5M [70021](24개)",LSP-RGB-15MM-5M,3000
PCA-S2R001,"[◆Lanstar-Plus] AV케이블 , 2RCA/M-3.5ST/M, 1.5M [70059](250개)",LSP-2RST-1.5M,550
PCA-S2R002,"[◆Lanstar-Plus] AV케이블 , 2RCA/M-3.5ST/M, 2M [70060](220개)",LSP-2RST-2M,600
PCA-S2R003,"[◆Lanstar-Plus] AV케이블 , 2RCA/M-3.5ST/M, 3M [70061](180개)",LSP-2RST-3M,800
PCA-S2R004,"[◆Lanstar-Plus] AV케이블 , 2RCA/M-3.5ST/M, 5M [70062](100개)",LSP-2RST-5M,1000
PCA-SRG001,"[◆Lanstar-Plus] SEMI RGB모니터케이블 , HDB15P M/M, 1.8M [70022](60개)",LSP-SRGB-15MM-1.8M,1400
PCA-SRG002,"[◆Lanstar-Plus] SEMI RGB모니터케이블 , HDB15P M/M, 3M [70023](50개)",LSP-SRGB-15MM-3M,1800
PCA-SRG003,"[◆Lanstar-Plus] SEMI RGB모니터케이블 , HDB15P M/M, 5M [70024](40개)",LSP-SRGB-15MM-5M,2300
PCA-STF001,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F, 0.5M , 일반 type [70046](400개)",LSP-ST-MF-0.5MN,380
PCA-STF002,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F, 1M , 일반 type [70047](300개)",LSP-ST-MF-1MN,430
PCA-STF003,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F, 1.5M , 일반 type [70048](250개)",LSP-ST-MF-1.5MN,500
PCA-STF004,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F, 2M , 일반 type [70049](220개)",LSP-ST-MF-2MN,450
PCA-STF005,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F,3M , 일반 type [70050](180개)",LSP-ST-MF-3MN,550
PCA-STF006,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F, 5M , 일반 type [70051](150개)",LSP-ST-MF-5MN,800
