"# O=완제품 단위 인증서 보유 / 자재=자재별 성적서 묶음 보유 / X=없음. 케이블은 자재별 성적서 묶음도 정상적인 근거이며, 아래 자재커버리지로 누락 자재를 확인"
"# * 표시(O*, 자재*) = 라인 단위 인증서를 제품군에 대응시킨 추론 매핑에만 근거함. 고객 제출 전 해당 모델이 인증서 적용범위에 포함되는지 확인 권장"
모델명,Data sheet,RoHS,CE,CoC,Fluke test,제품구분,RoHS 자재커버리지,RoHS 미확보 자재,기타 보유자료,4대자료 없음수
LS-5UTPD-0.5MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-10MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-15MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-1MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-20MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-2MB,X,O,O,X,X,케이블,-,-,REACH,3
LS-5UTPD-2MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-30MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-3MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-50MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-5MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-7MG,X,O,O,X,O,케이블,-,-,-,2
LS-5UTPD-XMG,O,X,X,X,X,케이블,-,-,-,4
LS-5UTPD-XXM,X,O,X,X,X,케이블,-,-,Test report,4
LS-6AFTP,X,X,O,X,X,케이블,-,-,-,4
LS-6AFTP-0.5M,X,X,X,X,O,케이블,-,-,-,4
"LS-6AFTP-0.5M,1M,2M,3M,5M,10M,15M,20M",X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-10M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-15M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-1M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-20M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-2M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-3M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-5M,X,X,X,X,O,케이블,-,-,-,4
LS-6AFTP-XM,O,X,X,X,X,케이블,-,-,-,4
