"# O=완제품 단위 인증서 보유 / 자재=자재별 성적서 묶음 보유 / X=없음. 케이블은 자재별 성적서 묶음도 정상적인 근거이며, 아래 자재커버리지로 누락 자재를 확인"
"# * 표시(O*, 자재*) = 라인 단위 인증서를 제품군에 대응시킨 추론 매핑에만 근거함. 고객 제출 전 해당 모델이 인증서 적용범위에 포함되는지 확인 권장"
모델명,Data sheet,RoHS,CE,CoC,Fluke test,제품구분,RoHS 자재커버리지,RoHS 미확보 자재,기타 보유자료,4대자료 없음수
LS-F6UTPD-10MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-15MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-1MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-20MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-2MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-3MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-5MW,O,X,X,X,X,케이블,-,-,-,4
LS-F6UTPD-XM,X,X,X,X,X,케이블,-,-,MSDS/SDS,5
LS-F6UTPD-XXMW,X,O,X,X,X,케이블,-,-,-,4
LS-F7-SFTP,X,X,O*,X,X,케이블,-,-,-,4
LS-F7-SFTP-XM,X,O,X,X,X,케이블,-,-,-,4
LS-F7-SFTP-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-F7-UTPD,X,X,O*,X,X,케이블,-,-,-,4
LS-F7-UTPD-XM,O,X,X,X,X,케이블,-,-,-,4
LS-F7-UTPD-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-F7FTP,X,X,O*,X,X,케이블,-,-,-,4
LS-F7FTP-10M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-15M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-1M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-20M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-2M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-3M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-5M,X,X,X,X,O,케이블,-,-,-,4
LS-F7FTP-XM,O,X,X,X,X,케이블,-,-,-,4
LS-F850N,O,X,X,X,O,커넥터/액세서리,-,-,-,3
LS-F8FTP,X,X,O*,X,X,케이블,-,-,-,4
LS-F8FTP-0.5M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-1.5M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-10M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-1M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-2M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-3M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-5M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-7M,X,X,X,X,O,케이블,-,-,-,4
LS-F8FTP-XM,X,자재,X,X,X,케이블,도체,절연·자켓·차폐,-,4
LS-F8FTP-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FMD / LS-FMP,X,O,O,X,X,케이블,-,-,-,3
LS-FMD-LCLC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FMD-LCSC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FMD-SCSC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FMP-LC-1.5M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-FMP-SC-1.5M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-FSB,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-FSD-LCLC-10M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCLC-15M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCLC-20M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCLC-30M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCLC-3M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCLC-5M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCLC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-10M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-15M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-20M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-30M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-3M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-5M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-LCSC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-10M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-15M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-20M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-30M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-3M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-5M,O,X,X,X,X,케이블,-,-,-,4
LS-FSD-SCSC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-FSI,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-FSP-LC-1.5M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-FSP-SC-1.5M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-FT6U,X,X,O*,X,X,케이블,-,-,-,4
LS-FT6U05M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U10M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U15M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U1M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U20M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U2M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U3M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6U5M,X,X,X,X,O,케이블,-,-,-,4
LS-FT6UXXM,O,X,O*,X,X,케이블,-,-,-,3
LS-FTP-100MSTG,O,X,X,X,X,케이블,-,-,-,4
LS-FTP-300MSTG,O,O,O,X,O,케이블,-,-,Test report,1
LS-FTP-305MSTG,O,X,X,X,X,케이블,-,-,-,4
LS-GEN-DB25FF,O*,X,X,X,X,기타,-,-,-,4
LS-GEN-DB25MM,O*,X,X,X,X,기타,-,-,-,4
LS-GEN-DB9FF,O,X,X,X,X,기타,-,-,-,4
LS-GEN-DB9MF,O*,X,X,X,X,기타,-,-,-,4
LS-GEN-DB9MM,O*,X,X,X,X,기타,-,-,-,4
LS-GEN-HDB15FF,O*,X,X,X,X,케이블,-,-,-,4
LS-GIC-FEDPT,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-GIC-FJM,O,O,X,X,X,커넥터/액세서리,-,-,"REACH, UL",3
LS-GIC-FKTMT,O,O,X,X,O,케이블,-,-,REACH,2
LS-GIC-UED,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-GIC-UEDWH,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-GIC-UJW,O,O,X,X,X,케이블,-,-,-,3
LS-GKTVM-F1MT,X,X,X,X,X,커넥터/액세서리,-,-,UL,5
LS-GKTVM-U1WH,자재,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-GKTVNL-F1MT,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-GKTVNL-U1WH,O,X,X,X,X,커넥터/액세서리,-,-,-,4
"LS-GKTVNL-U1WH,F1MT",X,X,X,X,X,커넥터/액세서리,-,-,UL,5
LS-GLAN30R,X,O,O,X,X,케이블,-,-,Other-cert,3
LS-GPLB-F24X,X,X,X,X,O,커넥터/액세서리,-,-,-,4
LS-H20AOC10,O,X,X,X,X,케이블,-,-,-,4
LS-H20AOC100,O,X,X,X,X,케이블,-,-,-,4
LS-H20AOC20,O,X,X,X,X,케이블,-,-,-,4
LS-H20AOC30,O,X,X,X,X,케이블,-,-,-,4
LS-H20AOC50,O,X,X,X,X,케이블,-,-,-,4
LS-H20AOC80,O,X,X,X,X,케이블,-,-,-,4
LS-H20AOCXX,X,X,X,X,X,케이블,-,-,Test report,5
LS-H21AOC,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-HAP21AOC,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-HAP21AOC-XM,X,X,X,X,X,케이블,-,-,Test report,5
LS-HD21,X,X,X,X,X,케이블,-,-,HDMI-DP-cert,5
"LS-HD21-1M,1.5M,2M,3M",O,X,X,X,X,케이블,-,-,-,4
LS-HD21-5M,O,X,X,X,X,케이블,-,-,HDMI-DP-cert,4
LS-HD21-XM,X,X,X,X,X,케이블,-,-,HDMI-DP-cert,5
LS-HD21R-50M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-HD21R-80M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-HD2DP-1M~5M,O,X,X,X,X,케이블,-,-,-,4
LS-HD2DPF-0.3M,O,X,X,X,X,케이블,-,-,-,4
LS-HDAOC-100M,X,자재,X,자재,X,케이블,광섬유·도체·솔더·자켓·차폐,절연,-,3
LS-HDAOC-30M,X,자재,X,자재,X,케이블,광섬유·도체·솔더·자켓·차폐,절연,-,3
LS-HDAOC-50M,X,자재,X,자재,X,케이블,광섬유·도체·솔더·자켓·차폐,절연,-,3
LS-HDAOC-XXM,O,X,X,X,X,케이블,-,-,Test report,4
LS-HDMI-2MM-10-15MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-2MM-10MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-2MM-15MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-2MM-20-30MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-2MM-20MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-2MM-25MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-2MM-30MC,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-AC20-XXM,X,X,O,X,X,케이블,-,-,"Other-cert, Test report",4
LS-HDMI-AD20-1M,X,X,X,X,X,케이블,-,-,Test report,5
LS-HDMI-AD20-XXM,X,X,O,X,X,케이블,-,-,"Other-cert, Test report",4
LS-HDMI-EXT-10~15M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-EXT-20~30M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HMF-0.15M~5M,X,X,O,X,X,케이블,-,-,-,4
LS-HDMI-HMF-XM,O,O,X,X,X,케이블,-,-,-,3
LS-HDMI-HMF-XXM,X,X,O,X,X,케이블,-,-,"Other-cert, Test report",4
LS-HDMI-HMM-XXM,X,X,O,X,X,케이블,-,-,"Other-cert, Test report",4
LS-HDMI-HYB-R100M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HYB-R10M,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-HDMI-HYB-R15M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HYB-R20M,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-HDMI-HYB-R30M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HYB-R40M,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-HDMI-HYB-R50M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HYB-R60M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HYB-R80M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMI-HYB-RXXM,O,X,X,X,X,케이블,-,-,Test report,4
LS-HDMI-NEMM-XXM,X,X,O,X,X,케이블,-,-,"Other-cert, Test report",4
LS-HDMI21,X,X,X,X,X,케이블,-,-,HDMI-DP-cert,5
LS-HDMI21-XM,O,O,X,X,X,케이블,-,-,"HDMI-DP-cert, Test report, UL",3
LS-HDMT-0.3-5M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMT-0.3M~5M,X,X,O,X,X,케이블,-,-,-,4
LS-HDMT-10M,X,X,O,X,X,케이블,-,-,-,4
LS-HDMT-10M 15M,O,X,X,X,X,케이블,-,-,-,4
LS-HDMT-15M,X,X,O,X,X,케이블,-,-,-,4
LS-HDMT-20M,O,X,O,X,X,케이블,-,-,-,3
LS-HDMT-XM,X,O,X,X,X,케이블,-,-,REACH,4
LS-HDMT-XXM,X,X,O,X,X,케이블,-,-,"Other-cert, Test report",4
LS-HF SERIES,X,O,O,X,X,케이블,-,-,Test report,3
LS-HF7005,O,X,X,X,O,케이블,-,-,-,3
LS-HF701,O,X,X,X,O,케이블,-,-,-,3
LS-HF702,O,X,X,X,O,케이블,-,-,-,3
LS-HF703,O,X,X,X,O,케이블,-,-,-,3
LS-HF705,O,O,O,X,O,케이블,-,-,Test report,1
LS-HF707,O,X,X,X,O,케이블,-,-,-,3
LS-HF710,O,X,X,X,O,케이블,-,-,-,3
LS-HF715,O,X,X,X,O,케이블,-,-,-,3
LS-HF720,O,X,X,X,O,케이블,-,-,-,3
LS-HF730,O,X,X,X,O,케이블,-,-,-,3
LS-HF750,O,X,X,X,O,케이블,-,-,-,3
LS-HF7XX,O,O,O,X,O,케이블,-,-,Test report,1
LS-HRGB-15MM,O,O,O,X,X,케이블,-,-,-,2
LS-HRGB-15MM-XM,X,자재,X,X,X,케이블,기타부품·도금·도체·자켓·절연·차폐·커넥터,없음(완비),UL,4
LS-HS2FAN,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-HS4FAN,O,X,X,X,X,커넥터/액세서리,-,-,-,4
"LS-KT-6U4N, 5EU4N",X,X,X,X,X,커넥터/액세서리,-,-,UL,5
LS-LAN-ROLLER,O,X,X,X,X,케이블,-,-,-,4
LS-LAN1021-KEY-BK,O,X,X,X,X,케이블,-,-,Drawing,4
LS-LAN1021-P100-BK,O,X,X,X,X,케이블,-,-,Drawing,4
LS-LAN20R,X,O,X,X,X,케이블,-,-,-,4
LS-LKPG SERIES,X,O,X,X,X,커넥터/액세서리,-,-,-,4
LS-M850N,O,X,X,X,O,커넥터/액세서리,-,-,-,3
LS-MDP12HD,O,O,X,X,X,케이블,-,-,-,3
LS-OM3-LCLC,X,O*,X,X,X,케이블,-,-,-,4
LS-OM3-LCLC-15M,X,X,X,X,X,케이블,-,-,Test report,5
LS-OM3-LCLC-20M,X,O*,X,X,X,케이블,-,-,-,4
LS-OM3-LCLC-XM,X,O,X,X,X,케이블,-,-,-,4
LS-OM3-LCLC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-OM3-LCSC,X,O*,X,X,X,케이블,-,-,-,4
LS-OM3-LCSC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-OM4-LCLC,X,O*,X,X,X,케이블,-,-,-,4
LS-OM4-LCLC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-OM4-LCSC,X,O*,X,X,X,케이블,-,-,-,4
LS-OM4-LCSC-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-OUTLET-WP24N,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-P197-2410G,O,X,O,X,O,커넥터/액세서리,-,-,-,2
LS-PASS-7STP,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-PASS-7UTP,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-PB14,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-PB16,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-PB18,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-PLKP-24SM,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-PRT-25C-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-PRT-25C-10M,O,X,X,X,X,케이블,-,-,-,4
LS-PRT-25C-3M,O,X,X,X,X,케이블,-,-,-,4
LS-PRT-25C-5M,O,X,X,X,X,케이블,-,-,-,4
LS-PRT-25C-XX,O,X,X,X,X,케이블,-,-,-,4
LS-PS2-6MF-1.8M,O,자재*,X,X,X,케이블,도체·자켓·절연·커넥터,차폐,-,3
LS-PS2-6MF-10M,O,자재*,X,X,X,케이블,도체·자켓·절연·커넥터,차폐,-,3
LS-PS2-6MF-5M,O,자재*,X,X,X,케이블,도체·자켓·절연·커넥터,차폐,-,3
LS-PS2-6MF-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-PS2-6MM-1.8M,O,자재,X,X,X,케이블,금속구조·도체·자켓·절연·커넥터,차폐,-,3
LS-PS2-6MM-10M,X,자재*,X,X,X,케이블,도체·자켓·절연·커넥터,차폐,-,4
LS-PS2-6MM-5M,X,자재*,X,X,X,케이블,도체·자켓·절연·커넥터,차폐,-,4
LS-PS2-6MM-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-1.8M~20M,X,X,O,X,X,케이블,-,-,-,4
LS-RGB-15MF-10M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-15M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-20M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-3M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-5M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MF-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM,O,자재*,X,X,X,케이블,도체,절연·자켓·차폐,-,3
LS-RGB-15MM-1.8M,O,X,X,X,X,케이블,-,-,Other-cert,4
LS-RGB-15MM-10M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM-15M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM-1M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM-1M~30M,X,X,O,X,X,케이블,-,-,-,4
LS-RGB-15MM-20M,O,X,X,X,X,케이블,-,-,Other-cert,4
LS-RGB-15MM-30M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM-3M,O,X,X,X,X,케이블,-,-,Other-cert,4
LS-RGB-15MM-5M,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM-5MCC,O,X,X,X,X,케이블,-,-,-,4
LS-RGB-15MM-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-RJ45-SHORT,X,O,X,X,X,커넥터/액세서리,-,-,-,4
LS-RJ45FTP-9P,O,자재,X,X,X,커넥터/액세서리,도체,커넥터,-,3
LS-RJ45UTP-8P,O,자재,X,X,X,커넥터/액세서리,도체,커넥터,-,3
LS-RS200C,X,O,X,X,X,케이블,-,-,-,4
LS-RS204C,X,X,X,X,X,케이블,-,-,Test report,5
LS-RS485,O,X,X,X,X,케이블,-,-,Drawing,4
LS-SER-25MF,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-SER-25MF-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MF-10M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MF-3M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MF-5M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MF-XXM,O,자재,X,X,X,케이블,기타부품·절연·차폐,도체·자켓,-,3
LS-SER-25MM,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-SER-25MM-1.8M,O,X,X,X,X,케이블,-,-,REACH,4
LS-SER-25MM-10M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MM-3M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MM-5M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-25MM-XXM,O,자재,X,X,X,케이블,기타부품·절연·차폐,도체·자켓,-,3
LS-SER-9F25M,X,자재*,X,X,X,케이블,커넥터,도체·절연·자켓·차폐,-,4
LS-SER-9F25M-1.8M,O,자재,X,X,X,케이블,도금·도체·자켓·차폐·커넥터,절연,-,3
LS-SER-9FF,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-SER-9FF-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9FF-10M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9FF-15M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9FF-1M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9FF-3M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9FF-5M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9FF-XXM,O,자재,X,X,X,케이블,차폐,도체·절연·자켓,-,3
LS-SER-9MF,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-SER-9MF-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-10M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-15M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-1M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-2.5M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-3M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-5M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MF-XXM,O,자재,X,X,X,케이블,기타부품·절연·차폐,도체·자켓,-,3
LS-SER-9MFC,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-SER-9MFC-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MFC-XXM,O,자재,X,X,X,케이블,차폐,도체·절연·자켓,-,3
LS-SER-9MM,O,자재,X,X,X,케이블,도금·도체·자켓·커넥터,절연·차폐,-,3
LS-SER-9MM-1.8M,O,X,X,X,X,케이블,-,-,-,4
LS-SER-9MM-XXM,O,자재,X,X,X,케이블,기타부품·절연·차폐,도체·자켓,-,3
LS-SHD20-0.5M~5M,X,X,O,X,X,케이블,-,-,-,4
LS-SHD20-XM,O,X,X,X,X,케이블,-,-,-,4
LS-SHE-1000D,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-1000H,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-1000HB,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-1000HG,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-1220H,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-1220HB,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-1220HG,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-3050H,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-3050HB,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-3050HG,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-600D,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-750H,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-750HB,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-750HG,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-7520HS,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-800D,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SHE-MINI,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SL6,X,X,O,X,X,케이블,-,-,-,4
LS-SL6-XM,O,X,X,X,O,케이블,-,-,-,3
LS-SL6-XXB,X,O,X,X,X,케이블,-,-,-,4
LS-SL6-XXW,X,O,X,X,X,케이블,-,-,-,4
LS-SL6-XXX,O,X,X,X,X,케이블,-,-,-,4
LS-SRGB-15MM-XM,X,자재,X,X,X,케이블,기타부품·도금·도체·자켓·절연·차폐·커넥터,없음(완비),-,4
LS-SSHE-1220H,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SSHE-1220HB,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SSHE-1620HSQ,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SSHE-7520HS,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SSHE-8020HQ,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-SSTP-CAT.6A-300M,O,O,O,X,O,케이블,-,-,"Test report, UL",1
LS-SSTP-CAT.7,O,X,X,X,X,케이블,-,-,-,4
LS-SSTP-CAT.7-100M,O,X,X,X,O,케이블,-,-,Test report,3
LS-SSTP-CAT.7-300M,X,O,X,X,X,케이블,-,-,Test report,4
LS-SSTP-CAT6A-300M,X,X,O,X,X,케이블,-,-,-,4
LS-ST-MF-XM,O,X,X,X,X,케이블,-,-,-,4
LS-ST-MF-XXXMN,O,X,X,X,X,케이블,-,-,-,4
LS-ST-MM-XXXMN,O,X,X,X,X,케이블,-,-,-,4
LS-U30AMBM-S1M,O,X,X,X,X,케이블,-,-,-,4
LS-U30AOC10,O,O,O,X,X,케이블,-,-,-,2
LS-U30AOC20,O,X,X,X,X,케이블,-,-,-,4
LS-U30AOC30,O,X,X,X,X,케이블,-,-,-,4
LS-U30AOC50,O,X,X,X,X,케이블,-,-,-,4
LS-U3AOC05,O,X,X,X,X,케이블,-,-,-,4
LS-U3AOC10,O,X,X,X,X,케이블,-,-,-,4
LS-U3AOC15,O,X,X,X,X,케이블,-,-,-,4
LS-U3AOC20,O,X,X,X,X,케이블,-,-,-,4
LS-U3AOC30,O,X,X,X,X,케이블,-,-,-,4
LS-U3AOCXX,O,X,X,X,X,케이블,-,-,-,4
LS-UCLAN-M,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AM5P,X,자재*,X,X,X,케이블,도금·도체·차폐·커넥터,절연·자켓,-,4
LS-USB-AM5P-1.5M,X,자재,X,X,X,케이블,자켓,도체·절연·차폐,-,4
LS-USB-AM5P-2M,X,자재,X,X,X,케이블,자켓,도체·절연·차폐,-,4
LS-USB-AM5P-XM,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AMAB-1.8M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAB-3M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAB-5M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAF,O,O,X,X,X,케이블,도금·도체·차폐·커넥터,절연·자켓,-,3
LS-USB-AMAF-1.8M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAF-1M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAF-3M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAF-5M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAF-XM,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AMAF-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AMAM,O,자재*,X,X,X,케이블,도금·도체·차폐·커넥터,절연·자켓,-,3
LS-USB-AMAM-1.8M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAM-3M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAM-5M,X,X,X,X,X,케이블,-,-,Other-cert,5
LS-USB-AMAM-XM,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AMAM-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AMBM,X,자재*,X,X,X,케이블,도금·도체·차폐·커넥터,절연·자켓,-,4
LS-USB-AMBM-1.8M,X,O,X,X,X,케이블,-,-,-,4
LS-USB-AMBM-XM,O,X,X,X,X,케이블,-,-,-,4
LS-USB-AMBM-XXM,O,X,X,X,X,케이블,-,-,-,4
LS-USB2.0-AMAF-S5M,X,X,X,X,X,케이블,-,-,PFAS,5
LS-USB2.0-AMAF-SXM,X,O,X,X,X,케이블,도금·도체·자켓·절연·차폐·커넥터,없음(완비),Test report,4
LS-USB3.0-AMAF,O,O,X,X,X,케이블,-,-,-,3
